"NAME_1","Sum_NumberTested540","Sum_NumberTested581","Sum_NumberTested437","Sum_NumberTested613","Sum_NumberFound540E","Sum_NumberFound581G","Sum_NumberFound437G","Sum_NumberFound613S","Sum_NumberFound540K","Sum_NumberFound581A","Sum_NumberFound437A","Sum_NumberFound613A","N._AKAA","N._GKAA","N._GEAA","N._GEGA","N.other","denom_haplo","long","lat","clin_inc_0_2","pred_30d_eff","pred_dur"
"Bas-Uele",13,11,19,16,5,0,10,0,8,11,9,16,4,3,2,0,0,9,24.9156,3.18563,1.17844,0.862251181747688,36.8
"Équateur",8,8,14,10,1,1,13,0,7,7,1,10,0,7,0,1,0,8,19.2985,0.329421,0.414626,0.840724123755733,29.3
"Haut-Katanga",7,8,9,8,4,0,6,0,3,8,3,8,1,0,4,0,0,5,27.7863644,-10.801113,0.749474,0.627274259340133,18.4
"Haut-Lomami",16,17,18,18,4,3,14,0,12,14,4,18,3,7,1,2,0,13,25.6268505,-8.3115523,0.512598,0.817639328958659,30.7
"Haut-Uele",12,12,14,12,10,2,11,0,2,10,3,12,2,0,7,2,0,11,28.5001198,3.40562092,1.08591,0.586393193747222,16.4
"Ituri",23,23,33,23,21,3,29,0,2,20,4,23,2,0,17,3,0,22,30.4737613,1.95011296,1.05078,0.552253550568665,15.8
"Kasaï",23,23,26,23,5,0,17,0,18,23,9,23,5,9,4,0,0,18,20.9208246,-5.5832511,0.274883,0.851255697113547,31.8
"Kasaï-Central",32,34,40,35,5,2,30,0,27,32,10,35,7,18,3,2,0,30,22.3654991,-6.03243,0.409441,0.856254986781569,31.7
"Kasaï-Oriental",16,16,13,16,1,0,5,0,15,16,8,16,6,5,0,0,0,11,23.4229289,-6.177896,0.208318,0.957930262815675,45.2
"Kinshasa",1047,1048,1049,1048,149,69,1017,8,920,986,45,1040,25,703,95,41,16,880,15.3151618833333,-4.38038168333333,0.256739,NA,NA
"Kongo-Central",836,841,851,840,114,41,837,2,722,800,14,838,13,694,90,23,17,837,14.4821400666667,-5.28154403333333,0.56126,0.849050761920904,29.2
"Kwango",15,16,18,16,2,0,17,0,13,16,1,16,1,12,2,0,0,15,16.9972179,-5.839477,0.209494,0.86493634197743,30
"Kwilu",56,56,60,56,2,2,58,0,54,54,2,56,2,51,1,1,0,55,18.02694145,-3.9896129,0.197031,0.894962040745363,30.7
"Lomami",32,34,33,36,4,1,24,0,28,33,9,36,6,12,3,1,0,22,24.3392931,-6.4784116,0.779422,0.855854606270571,32.2
"Lualaba",17,21,20,21,4,0,16,0,13,21,4,21,3,9,4,0,0,16,23.2694826,-10.063495,1.02008,0.828467562086815,29.9
"Mai-Ndombe",28,28,33,29,1,1,30,0,27,27,3,29,3,22,0,1,0,26,17.7954544,-2.1668372,0.554293,0.896838617198783,31.5
"Maniema",37,34,55,43,27,8,42,0,10,26,13,43,6,4,14,8,0,32,26.7342398,-3.2292882,0.794243,0.626972359502173,17.6
"Mongala",14,14,16,16,2,0,12,0,12,14,4,16,3,5,2,0,0,10,22.0566647,2.24138606,0.283721,0.861440331719497,32.5
"Nord-Kivu",15,15,19,15,13,8,17,0,2,7,2,15,1,1,5,7,0,14,28.8548433,-0.718115,0.160231,0.520477280907705,13.8
"Nord-Ubangi",28,28,31,28,5,2,10,0,23,26,21,28,16,3,2,1,0,22,20.7749313,4.07856196,1.05392,0.914448121934402,53
"Sankuru",12,12,13,16,6,5,11,0,6,7,2,16,1,4,0,4,0,9,23.5854601,-3.7872993,0.33193,0.682485104305287,21.9
"Sud-Kivu",15,16,16,16,14,7,16,0,1,9,0,16,0,0,7,7,0,14,28.5382679,-3.016995,0.22174,NA,NA
"Sud-Ubangi",15,15,15,16,2,2,6,0,13,13,9,16,6,5,0,1,1,13,19.4390115,3.3377896,0.495012,0.891962657526171,38.3
"Tanganyika",29,30,34,30,9,7,14,0,20,23,20,30,14,4,1,6,1,26,27.2694083,-6.1995122,0.984259,0.808118431623672,44.1
"Tshopo",20,21,20,24,3,2,13,0,17,19,7,24,6,8,1,1,0,16,25.0459203,0.35584145,0.96677,0.883091271055732,35.2
"Tshuapa",10,10,14,10,3,1,13,0,7,9,1,10,1,5,2,1,0,9,21.9951916,-0.3101437,0.630318,0.77470640449115,27.4
